Symbol,Timeframe,Status,Liczba rekordów,Pierwsza data,Ostatnia data
EURUSD,H1,OK,527,2025-02-12 16:00:00,2025-03-14 14:00:00
EURUSD,D1,OK,26,2025-02-13 00:00:00,2025-03-14 00:00:00
GBPUSD,H1,OK,527,2025-02-12 16:00:00,2025-03-14 14:00:00
GBPUSD,D1,OK,26,2025-02-13 00:00:00,2025-03-14 00:00:00
