time,open,high,low,close,tick_volume,spread,real_volume
2025-03-12 00:15:00,1.09172,1.09172,1.09133,1.09167,383,1,0
2025-03-12 00:30:00,1.09167,1.09173,1.09146,1.09155,269,1,0
2025-03-12 00:45:00,1.09156,1.09162,1.09135,1.09142,336,1,0
2025-03-12 01:00:00,1.09141,1.09159,1.09122,1.09126,657,1,0
2025-03-12 01:15:00,1.09126,1.09146,1.09118,1.09127,466,1,0
2025-03-12 01:30:00,1.09126,1.09127,1.09074,1.09086,657,1,0
2025-03-12 01:45:00,1.09086,1.09096,1.09057,1.09089,676,1,0
2025-03-12 02:00:00,1.09091,1.09113,1.09063,1.09069,644,1,0
2025-03-12 02:15:00,1.09069,1.09128,1.09066,1.09116,655,1,0
2025-03-12 02:30:00,1.09115,1.09155,1.09093,1.09098,962,1,0
2025-03-12 02:45:00,1.091,1.09107,1.09061,1.09066,900,1,0
2025-03-12 03:00:00,1.09066,1.09113,1.09059,1.09107,831,1,0
2025-03-12 03:15:00,1.09105,1.09116,1.09057,1.09062,815,1,0
2025-03-12 03:30:00,1.09062,1.09081,1.09052,1.0906,741,1,0
2025-03-12 03:45:00,1.0906,1.09074,1.09037,1.09039,500,1,0
2025-03-12 04:00:00,1.09038,1.09049,1.09016,1.09019,631,1,0
2025-03-12 04:15:00,1.09019,1.09032,1.08972,1.08996,706,1,0
2025-03-12 04:30:00,1.08996,1.08996,1.08968,1.08972,546,1,0
2025-03-12 04:45:00,1.08973,1.08982,1.08962,1.08974,486,1,0
2025-03-12 05:00:00,1.08975,1.08985,1.08963,1.08976,309,1,0
2025-03-12 05:15:00,1.08976,1.09026,1.08968,1.09017,503,1,0
2025-03-12 05:30:00,1.09017,1.09025,1.08978,1.09005,504,1,0
2025-03-12 05:45:00,1.09005,1.09027,1.08967,1.08988,509,1,0
2025-03-12 06:00:00,1.08989,1.08989,1.0895299999999999,1.08971,755,1,0
2025-03-12 06:15:00,1.08972,1.08982,1.08957,1.08965,572,1,0
2025-03-12 06:30:00,1.08968,1.09021,1.08968,1.09015,696,1,0
2025-03-12 06:45:00,1.09015,1.09044,1.09003,1.09037,741,1,0
2025-03-12 07:00:00,1.09036,1.09089,1.09027,1.09058,779,1,0
2025-03-12 07:15:00,1.09058,1.09063,1.09018,1.09038,934,1,0
2025-03-12 07:30:00,1.09038,1.09047,1.09007,1.09016,922,1,0
2025-03-12 07:45:00,1.09015,1.09025,1.0892,1.08923,903,1,0
2025-03-12 08:00:00,1.08924,1.08967,1.08876,1.08956,1227,1,0
2025-03-12 08:15:00,1.08957,1.08983,1.08896,1.08949,1174,1,0
2025-03-12 08:30:00,1.08948,1.09024,1.08923,1.08997,1051,1,0
2025-03-12 08:45:00,1.08998,1.09032,1.08915,1.09017,1140,1,0
2025-03-12 09:00:00,1.09017,1.0908,1.08979,1.09052,1514,1,0
2025-03-12 09:15:00,1.09056,1.09131,1.09056,1.09093,1348,1,0
2025-03-12 09:30:00,1.09093,1.09184,1.09073,1.09159,1207,1,0
2025-03-12 09:45:00,1.09157,1.09218,1.09062,1.09216,1580,1,0
2025-03-12 10:00:00,1.09218,1.09254,1.09151,1.09193,1413,1,0
2025-03-12 10:15:00,1.09193,1.0924800000000001,1.09173,1.09218,1133,1,0
2025-03-12 10:30:00,1.09219,1.09262,1.09176,1.09196,1172,1,0
2025-03-12 10:45:00,1.0919699999999999,1.09212,1.09135,1.09145,1164,1,0
2025-03-12 11:00:00,1.09145,1.0921,1.09116,1.09198,1000,1,0
2025-03-12 11:15:00,1.09195,1.09195,1.09121,1.09142,961,1,0
2025-03-12 11:30:00,1.09142,1.09155,1.09046,1.09095,889,1,0
2025-03-12 11:45:00,1.09097,1.09097,1.09048,1.09065,793,1,0
2025-03-12 12:00:00,1.09063,1.09121,1.09056,1.09103,928,1,0
2025-03-12 12:15:00,1.09103,1.0913,1.09087,1.09119,975,1,0
2025-03-12 12:30:00,1.09118,1.09129,1.09016,1.09049,992,1,0
2025-03-12 12:45:00,1.09049,1.09059,1.08995,1.09011,1022,1,0
2025-03-12 13:00:00,1.09011,1.0901399999999999,1.08927,1.08943,1027,1,0
2025-03-12 13:15:00,1.08945,1.08983,1.08887,1.08924,1162,1,0
2025-03-12 13:30:00,1.08925,1.09314,1.08786,1.08912,2511,1,0
2025-03-12 13:45:00,1.08915,1.09032,1.08762,1.08781,2039,1,0
2025-03-12 14:00:00,1.08786,1.08949,1.08772,1.08933,1705,1,0
2025-03-12 14:15:00,1.08934,1.08965,1.08837,1.08918,1527,1,0
2025-03-12 14:30:00,1.08918,1.08936,1.08798,1.08856,1604,1,0
2025-03-12 14:45:00,1.08855,1.08941,1.08757,1.08824,1849,1,0
2025-03-12 15:00:00,1.08821,1.08912,1.08813,1.08856,1555,1,0
